Id,URL,image,title,date,Views,Reach (Organic),Likes (Organic),Saved (Organic),Comments (Organic),Shares (Organic),Interactions (Organic),Engagement (Organic),Avg Watch Time (Organic),Video View Total Time (Organic),% View rate (+3 secs),Reposts
"18361128385300906","https://www.instagram.com/reel/DbcW5JqgdRg/","https://scontent-lhr6-2.cdninstagram.com/v/t51.71878-15/760648044_1345255607721711_5992489828253278597_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=oBg3Q4TXWdwQ7kNvwGFvUHe&_nc_oc=Adq28DVYnwe0hyzGU-a9Idtn_Zkg7UOHzXEa9r7CxoDNIgktAfLHAAZbCh-BZ_9WWf0&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=RNMUk_kPCNpq5FC0Glp-XQ&_nc_tpa=Q5bMBQExyK28gFOa3acsiv142tPyFMiVrFkND00WbHEF5GZkesnMHwA-GkVfVYXM835Vtbpm7bAfYA2jEQ&oh=00_AQHh89l8EIad4-Uwx7slrwY1cU-YVrhY1Q12n8yvQqriGQ&oe=6A77240D","What Boots is doing right now says a lot about the future of independent pharmacy 👀

#CommunityPharmacy #IndependentPharmacy #PharmacyBusiness #PharmacyNews #TitanPMR",2026-07-31 05:01,"288","222","5",,,,5,"2.25","19119","4378469","41.5",
"18115615841480247","https://www.instagram.com/reel/DbZyBWuDaci/","https://scontent-lhr6-1.cdninstagram.com/v/t51.71878-15/756943295_1029509073161336_2022474414069058641_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=ngSTvohmoF4Q7kNvwH4vtKn&_nc_oc=Adpquynm18YainLLMvaFdGBi9afeoR_wae51c05c_I-xGApqdVwPz8egNn2phv7eoDE&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=RNMUk_kPCNpq5FC0Glp-XQ&_nc_tpa=Q5bMBQGWU_hzQgV4NVZKwwtTTGM6QdLrAgQjvJASZcQLGhSmTUduQrZRR8NuYvPB3a-dk42g9E2BDA3wwA&oh=00_AQG7Fi3ad5--uPo-MDsm7M4W2jvnBji0ZQ_4g4eue44kkQ&oe=6A771CCD","You never regret making the right decision. Only waiting to make it.

Thanks to Mohammad for taking the time to share your experience with us. 💙

#CommunityPharmacy #TitanPMR #PharmacyTechnology #IndependentPharmacy #Titanverse",2026-07-30 05:00,"1158","832","25","1","2","7",35,"4.21","11158","9585468","42.8",
"18051262940563660","https://www.instagram.com/reel/DbXNQftAiW-/","https://scontent-lhr11-1.cdninstagram.com/v/t51.71878-15/757400247_1066878629320546_7018244753085258212_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=c4AFZzUn3GQQ7kNvwGkiflx&_nc_oc=Adrid0kzevQlB-78NyoaOEEdWQDDVEt3OmSpiC_6gze5D2xbOfBun95NsOpr-nDuKXY&_nc_zt=23&_nc_ht=scontent-lhr11-1.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=RNMUk_kPCNpq5FC0Glp-XQ&_nc_tpa=Q5bMBQEGbwSNvP4M_9lgJJSfXHtuJKLAmuC8KqjQXcAlS4kJXd3AhAzFu1JU7VjbRne9Ez7VndX2e1YmyA&oh=00_AQGX_m2-BfhNp-dZSTN1HaBHzFVXG6d7Pb3chJXjGsf1qw&oe=6A76FF00","The best supplier isn’t the one that promises nothing will go wrong.

It’s the one you still trust when it does.

Four years into our partnership with @Avonnex, that belief has only become stronger.

Because pharmacy isn’t built on perfect days.

It’s built on how people respond when the difficult ones arrive.

As @Amrik says, “The solution is not blame.”

Choose the partner, not just the product. 🤝💙🤖

#CommunityPharmacy #PharmacyAutomation #PharmacyTechnology #IndependentPharmacy #PatientCare",2026-07-29 05:01,"239","182","1",,,,1,"0.55","13301","2607159","34",
"17947957233229477","https://www.instagram.com/reel/DbSDnpRDmZ8/","https://scontent-lhr6-1.cdninstagram.com/v/t51.71878-15/757523879_3199476166914664_6057643103647209266_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=NwvXQ8rW4b8Q7kNvwGyyjHS&_nc_oc=AdrCuqUmwrLMOYCGYmjPNLs4CinK0ql4zp-_XmhCaG4BzMXYku_hkOgjkdS96bqQask&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=RNMUk_kPCNpq5FC0Glp-XQ&_nc_tpa=Q5bMBQGEIrkez6DGjFUBX8Uvxhx-rdtW8oC19Pd78k63MpJZn0tpZW2difzNgUPVzNel7dzkxz4n51t2YA&oh=00_AQHo_aGiCClyhV6sm_uNAbrGfxaQ4FdyJdkbVwJHWTBByQ&oe=6A7716A3","Building a great pharmacy is never a one-person job.

Spend five minutes at Marton Road and you quickly realise how many people have helped bring Jaya’s vision to life.

On Friday, Marton Road officially became powered by Titan. 🚀

But this story is bigger than one company.

It’s about what happens when the right partners pull in the same direction.

💙 Titan PMR
🤖 Avonnex
📱 PharmAppy

Different specialisms. One ambition. Helping independent pharmacies spend less time fighting systems and more time caring for patients.

Congratulations to Jaya and everyone who helped make it happen. 👏

We’re proud to be part of what Marton Road is building.

#CommunityPharmacy #IndependentPharmacy #PharmacyAutomation #DigitalHealth #PatientCare",2026-07-27 05:00,"634","423","8","3",,"1",12,"2.84","19895","9092220","42.7",
"17864422008637562","https://www.instagram.com/reel/DbFZXdhAVW9/","https://scontent-lhr11-1.cdninstagram.com/v/t51.71878-15/753954047_2321751978653708_5010410827514285420_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=5gM2TPXp1FYQ7kNvwEmJVRi&_nc_oc=AdryK36HETwpNYeLE-GW7FrfiOm2aXIY7DPAfP0zBhFUuLwxD8DZ8qdR8bJv681Q0cI&_nc_zt=23&_nc_ht=scontent-lhr11-1.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=RNMUk_kPCNpq5FC0Glp-XQ&_nc_tpa=Q5bMBQEaQmMuyZeyeqLs-ehQofZ6-501UND-uwVG83TAoWxzR4qOLawh_xljlw1yfiQsCxp5ZJI-88KPiw&oh=00_AQH9RuTUygyS_h5DTASSGVaBlxydbLsGjHR8xyATlOcUzw&oe=6A76F5CE","Other PMRs are catching up. But what's next?

There's still gaps in pharmacy. Not just the dispensary. The business side too.

Sunil is one of the owners already ahead. His pharmacy is geared towards the future, with private services a massive part of it.

He caught up with Nas at TitanUp 26 after he'd seen what's coming to Titan next.

""The package would be complete with some of these additions.""

Titan frees pharmacies from the dispensing and the business overhead. So owners like Sunil can focus on what pharmacy is actually for. Care.

Sunil is already there. Titan is part of how. 💙

#CommunityPharmacy #IndependentPharmacy #PrivateServices #TitanPMR #Titanverse",2026-07-22 07:00,"316","239","6","2",,,8,"3.35","8982","2227752","35.2",
"18181079860407669","https://www.instagram.com/reel/DbCuDcnl8oc/","https://scontent-lhr11-1.cdninstagram.com/v/t51.71878-15/753337570_1062697289447605_1221547992252400778_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=4DnPmuC_yZYQ7kNvwHxFxNS&_nc_oc=AdpHJm0Ezb8z1gdyIFhEA0LqiK4tVimVmgMKVOLefFY5shUJRFpnGKpMXCIcJZVcyuk&_nc_zt=23&_nc_ht=scontent-lhr11-1.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=RNMUk_kPCNpq5FC0Glp-XQ&_nc_tpa=Q5bMBQHR8NQb0oWRA1LxnYjHHJWHYqO_WtI1aYIbvGn1gh9M-AGNSCOHmeQf_pMbXdmP4wY-I3BPzdZNhQ&oh=00_AQFmC-exR3ZXLUh-6YE2Hwqp09oqKR8dl5wJN9osTjEVNA&oe=6A77081C","Hub and spoke is becoming really topical in pharmacy. And a lot of independent pharmacy owners are weighing up which one is right for them.

Titan customers have four options:

✅ Wholesaler-run hub
✅ Third-party hub company with their own software
✅ Your own hub with specialist software
✅ Titan's own hub-and-spoke software (peer-to-peer)

Titan PMR COO Hooman explains why. Premium multi-site customers get Titan's hub-and-spoke included in the package. The external three plug into Titan via the Labelling and Packaging API.

The operating-model decision stays where it should. With you.

#CommunityPharmacy #IndependentPharmacy #PharmacyBusiness #HubAndSpoke #TitanPMR",2026-07-21 06:03,"172","135",,,,,0,"0","6139","871749","15.1",
"17876788041510968","https://www.instagram.com/reel/Da18nlCCtyQ/","https://scontent-lhr6-1.cdninstagram.com/v/t51.71878-15/747625921_2226549064772425_2955612919430658849_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=Q69cZY5ux9MQ7kNvwFEZw2G&_nc_oc=Adon7GnbL290JBtte_JlENntUukbePt-unm4glFGRE3jaAB7X3TWmVmV3Zt6fdR1zGw&_nc_zt=23&_nc_ht=scontent-lhr6-1.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=RNMUk_kPCNpq5FC0Glp-XQ&_nc_tpa=Q5bMBQE3tuwRDGmwMQA0nQxDvv5mueR5ihjohRg4x19tJanY_nzv_SHT-M1fALf2yV1ouzr4glHsXSVAuA&oh=00_AQGSdUEVbvHujeEnqRNz78l2nVHJv1-gm7wX-gA0tFur_w&oe=6A76FA25","If you've ever wondered whether your PMR and your robot are actually working together, or whether you'd have made different choices with hindsight, Friday 24 July is worth putting in the diary.

Marton Road Pharmacy is opening its doors so you can see one setup running live.

Titan PMR working alongside an Avonnex robot. Real prescriptions. Real workflows. The team on the floor.

With Jaya's blessing, we're using his pharmacy to show what a proper setup can do. A stress-free dispensary. More efficiencies. More safety. Time back for the pharmacist team to spend with the community.

Innovation Day is the chance to see whether that vision has been met.

Live demonstrations from 10am. Come, ask, draw your own conclusions.

RSVP: link in bio

📍 Marton Road Pharmacy, Bridlington
📅 Friday 24 July

#TitanPMR #InnovationDay #CommunityPharmacy #PharmacyAutomation #MartonRoadPharmacy",2026-07-16 07:00,"262","208","4",,"1",,5,"2.4","10251","2214311","36",
"18108916727058874","https://www.instagram.com/reel/DauwkeHgc-n/","https://scontent-lhr11-1.cdninstagram.com/v/t51.71878-15/746411752_1714226483218168_6421876939171669923_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=LDjlht_L_joQ7kNvwHLhwHU&_nc_oc=AdrM6wi-bOzcGVWE3jY57T1WRW96zgBrdYwTGsfT1k84IPy3qVfwsTo_4zQd8U20uTU&_nc_zt=23&_nc_ht=scontent-lhr11-1.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=RNMUk_kPCNpq5FC0Glp-XQ&_nc_tpa=Q5bMBQHY08Tu7zqNucRlEPTBho2vXT_sabTNSyEkMYV0tm1kWiEa832SrWH7oRxwstHD93c1pMLgnWV3SA&oh=00_AQETdYFQkgalHDlYAdxBf0x5NMJ36Sgx1ZLggORM3jRaMg&oe=6A7726A3","Pharmacies are seeing more patients with more complex symptoms.

How do you make sure nothing serious gets missed?

At TitanUp 26, John from DemDx showed us how their clinical copilot sits inside the Titanverse consultation flow.

Open the patient consultation. The algorithm takes over:

✅ Guides the right clinical questions
✅ Flags red flags in real time
✅ Builds the safety netting as you go
✅ Generates the structured clinical note automatically

When the consultation ends, the note is already in the patient record. No extra typing. No missed steps.

Clinician-built pathways, aligned with NICE guidelines, running directly inside Titanverse. No extra tabs. No extra system.

More structure. More safety. Less admin.

Watch it running live. 👇

@DemDx

#TitanUp26 #Titanverse #CommunityPharmacy #IndependentPharmacy #ClinicalServices #PharmacyFirst #TitanPMR",2026-07-13 12:01,"187","155",,,,,0,"0","2420","389731","14.5",
"18076603571665358","https://www.instagram.com/reel/DanJA-Nm66g/","https://scontent-lhr6-2.cdninstagram.com/v/t51.71878-15/742531029_1025019060176699_490476602106486256_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=PeXT6dunQXEQ7kNvwGl-6GS&_nc_oc=AdpHrJXf3DUZ3O37_Q1NSUDDHTK1AvFg_eAJNgyYxYU4gczKvXiOKMRSpi7pFq9Rd_c&_nc_zt=23&_nc_ht=scontent-lhr6-2.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=RNMUk_kPCNpq5FC0Glp-XQ&_nc_tpa=Q5bMBQHFPO3GxoQwxo5sJSHZgYufH9gqJt11oYfSk26O25jkTRMlONwvawY6fA9o6oP4f-BqzPbYJ3wAmA&oh=00_AQGV0LUWJZyHOmI-T_7vqTwW2i3dSyUutDaMPi9yZtTsVA&oe=6A770541","Modern community pharmacy isn't about one thing. It's about how everything works together.

Come see it in a real dispensary. 24 July, Marton Road Pharmacy, Bridlington.

RSVP link in bio

#CommunityPharmacy #PharmacyLife #PharmacyTech #FuturePharmacy #TitanPMR",2026-07-10 13:00,"1456","1168","9","1",,"8",18,"1.54","16526","19501794","55.6",
"18133859371591586","https://www.instagram.com/reel/Dae1BRcEXiD/","https://scontent-lhr11-1.cdninstagram.com/v/t51.71878-15/730383246_1017618250863120_2832519783572221276_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=QFCJXP4iJ68Q7kNvwH1Yap2&_nc_oc=Ado_Bp50j75zC0tVnFevTBgMS1ptj3IXbfT3e0jcTz1v_rukSka_0_5FMHzIDq5i-4Y&_nc_zt=23&_nc_ht=scontent-lhr11-1.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=zyDvBHM9UOf0R7EvrUWWRw&_nc_tpa=Q5bMBQHdODePaNhI7K4UhiIFlwJwjDLwy4cuvTasiSleDOdYxZkfhPNZk2WY5Z4lZfhgfwZ4nOzQ3E8I2Q&oh=00_AQAEMxlNakfHCwcTlL35RENWh8PAilRUk-ABN7q6p50CuA&oe=6A54E028","Last Friday, Dudley Town Pharmacy went live on Titan.

Their owner said himself that he was apprehensive about switching.

By day three?

No regrets.

Here’s where he landed after seeing the training, the technology and the support in action. 👇

#TitanPMR #CommunityPharmacy #IndependentPharmacy #PharmacyOwner",2026-07-07 07:31,"279","211","2","1",,,3,"1.42","10745","2267357","45.7",
