Title,Date,URL,Reactions,LikeReactions,PraiseReactions,AppreciationReactions,EmpathyReactions,InterestReactions,EntertainmentReactions,Comments,Clicks,Shares,Impressions,Engagement,Vid. Views,Viewers,Time Watched,Type
"✨ TITAN 2024 Wrapped ✨

What a year it's been.

900+ sites live  

96 million prescriptions processed  

150+ updates rolled out  

200+ 5-star TrustPilot reviews  

Smashed it at the Pharmacy Show  

A genuine thank you to every customer, partner, and member of the Titan team.

Here's to pushing even further in 2025.

👉 titanpmr.com",2024-12-16,,24,,,,,,,5,1144,6,1811,65.1,,,,DOCUMENT
"🚨 Original Pack Dispensing (OPD) — TITAN PMR is ready 🚨

The new OPD legislation is here, and Titan is built to help your pharmacy adapt seamlessly.

What this means for you:

🎯 Accurate labels with barcode scanning

🎯 Reduced split packs

🎯 Regulatory compliance baked-in

🎯 Workflow automation with minimal manual intervention

With Titan's AI-powered checks and barcode validation, you can focus on patient care while staying compliant.

Simplify compliance. Elevate efficiency.

👉 titanpmr.com",2024-12-17,,33,,,,,,,1,86,9,1950,6.6,,,,IMAGE
"Are you sceptical of Titan PMR? 👀

Mustafa was too — until he experienced the difference for himself.

Titan PMR has helped him:

✅ Remove bottlenecks, freeing up valuable time

✅ Virtually eliminate dispensing errors

✅ Work seamlessly from multiple locations

Hearing stories like Mustafa's reminds us why we're committed to reimagining pharmacy systems.

Watch the video to see how Titan PMR can help your pharmacy thrive.

👉 Be part of the transformation — titanpmr.com",2024-12-18,,10,,,,,,,1,70,1,958,8.6,,,,VIDEO
"Another Successful Implementation

It's truly inspiring to see the incredible impact TITAN PMR has made in such a short period of time.

With our new and improved workflows, this pharmacy has seen remarkable gains in safety and efficiency, turning the dispensary into a stress-free zone.

Most importantly, pharmacists are spending significantly less time on routine tasks, allowing them to focus more on delivering vital NHS and private services to the community.

✅ Improved Safety  

✅ Enhanced Efficiencies  

✅ Paperless Operations  

✅ Freedom for Pharmacists  

✅ Stress-Free Dispensary  

We're proud to be part of this journey towards a more streamlined and patient-focused healthcare experience.

Explore more at www.titanpmr.com",2024-12-22,,4,,,,,,,0,25,1,684,4.4,,,,VIDEO
"🎄 Thank You for a Year of Dedication and Care 🎄

As 2024 comes to a close, we want to take a moment to thank everyone in the pharmacy industry for their hard work and dedication this year. Your commitment has made a difference to so many lives, and we're truly grateful to be part of this incredible community. 💙

We encourage everyone to recharge if they can. Let's come back refreshed and ready to make 2025 a year to remember.

From all of us at TITAN, thank you for an amazing year. Wishing you a Merry Christmas and a Happy New Year! 🎁✨",2024-12-23,,22,,,,,,,2,39,4,1043,6.4,,,,IMAGE
"2025, let's go! 🚀 We're feeling refreshed, motivated, and ready to empower UK pharmacies like never before.

2024 was just the start — together, we achieved incredible milestones and overcame big challenges. Now, it's time to aim higher.

This year, we're bringing even smarter tools and harnessing the power of AI to transform pharmacy workflows and drive efficiency like never before.

What's your pharmacy's resolution for 2025? Share it below — we'd love to hear! 💡

👉 Ready to see what's next? Visit titanpmr.com to learn more.",2025-01-06,,24,,,,,,,0,36,2,835,7.4,,,,IMAGE
"Are you looking for a PMR system you can trust with everyday tasks, from dispensing to clinical checks?

TITAN delivers:

✅ Safer, error-free dispensing  

✅ Time-saving, paperless workflows  

✅ Patient-first tools for better outcomes  

Just a few reasons why 200+ pharmacies rate us 5 stars on Trustpilot.

👉 Learn more at titanpmr.com",2025-01-07,,17,,,,,,,0,48,2,922,7.3,,,,VIDEO
"✨ ""So Much More Efficient Than Any Other PMR"" ✨

TITAN PMR has been a game changer for pharmacists like Kieren. Here's what he achieved:

✅ NMS numbers skyrocketed from 30 to 180 per month  

⏱️ Time-saving tools made workflows smarter, not harder  

😊 Happier staff, happier patients, and zero missed prescriptions  

TITAN PMR is transforming pharmacies by streamlining workflows, freeing up valuable time, and reducing admin — so pharmacists can focus on delivering exceptional care.

👉 Book a free demo today: titanpmr.com/join-us",2025-01-08,,12,,,,,,,0,52,3,913,7.3,,,,VIDEO
"Pharmacies are shouldering the weight of NHS demands.

Here's how they're thriving under the pressure.

Pharmacies in the UK are stepping up as GPs face increasing demand. The upside? Every consultation brings extra NHS income for your pharmacy.

But here's the challenge:

Most pharmacy teams are stretched thin managing dispensing and day-to-day operations. To qualify for Pharmacy First consultation payments, you need to handle at least 25 consultations a month.

That's where automation and AI make the difference. Tools like Titan streamline workflows, automate admin tasks, and free up your team to focus on patients.

The results:

• More consultations, more revenue.  

• Faster, smarter patient care.  

• A future-ready pharmacy that thrives under pressure.  

With the right systems, you can meet rising demand, grow private services, and keep your pharmacy running smoothly.

How has your pharmacy handled the shift? Let's discuss in the comments.",2025-01-14,,19,,,,,,,0,49,2,1258,5.6,,,,IMAGE
"3 Automation Tools Increasing Pharmacy Efficiency

Saving time, cutting errors, and focusing on growth.

• Clinical AI – Automates checks and prioritises safety.  

• Automated Collection – 24/7 pick-ups that free up staff.  

• Automated Picking – Speeds up dispensing and stock management.

Which of these tools could your pharmacy benefit from most?",2025-01-15,,21,,,,,,,2,916,3,1767,53.3,,,,DOCUMENT
