rank,term,count,type,theme
1,"nas",126,word,people
2,"support",80,word,support
3,"training",68,word,implementation
4,"great",67,word,praise
5,"implementation",53,word,implementation
6,"helpful",52,word,support
7,"patient",49,word,support
8,"process",46,word,other
9,"experience",42,word,other
10,"recommend",41,word,endorsement
11,"thank",38,word,other
12,"highly",36,word,other
13,"easy",36,word,outcome
14,"amazing",36,word,praise
15,"atique",35,word,people
16,"help",34,word,support
17,"everything",34,word,other
18,"questions",33,word,support
19,"transition",31,word,implementation
20,"excellent",29,word,praise
21,"thanks",28,word,other
22,"brilliant",25,word,praise
23,"fantastic",25,word,praise
24,"nour",25,word,people
25,"live",24,word,other
26,"smooth",24,word,implementation
27,"now",22,word,other
28,"throughout",21,word,other
29,"sure",21,word,other
30,"highly recommend",21,phrase-2,praise
31,"his",20,word,other
32,"confident",20,word,emotion
33,"issues",20,word,other
34,"maj",20,word,people
35,"incredibly",19,word,other
36,"especially",18,word,other
37,"recently",18,word,other
38,"better",18,word,other
39,"dispensing",18,word,outcome
40,"trainer",17,word,other
41,"knowledgeable",17,word,other
42,"efficient",17,word,outcome
43,"software",16,word,other
44,"workflow",16,word,outcome
45,"best",16,word,other
46,"change",16,word,transformation
47,"saj",16,word,other
48,"difference",16,word,other
49,"patients",15,word,other
50,"far",15,word,other
51,"friendly",15,word,other
52,"first",15,word,other
53,"forward",15,word,other
54,"without",15,word,other
55,"outstanding",15,word,praise
56,"explained",14,word,other
57,"helped",14,word,other
58,"step",14,word,other
59,"exceptional",14,word,praise
60,"knowledge",14,word,other
61,"ensure",14,word,other
62,"today",14,word,other
63,"beyond",13,word,other
64,"provided",13,word,other
65,"weeks",13,word,other
66,"naz",13,word,other
67,"game",13,word,other
68,"changer",13,word,other
69,"available",13,word,other
70,"flow",13,word,other
71,"gone",12,word,other
72,"seamless",12,word,other
73,"setup",12,word,other
74,"it's",12,word,other
75,"helping",12,word,other
76,"extremely",12,word,other
77,"answered",12,word,support
78,"prescriptions",12,word,other
79,"makes",12,word,other
80,"efficiency",12,word,outcome
